activity_id,activity_name
4,Auto Touring
5,Biking
6,Boating
7,Climbing
8,Historic & Cultural Site
9,Camping
10,Interpretive Programs
11,Fishing
14,Hiking
15,Horseback Riding
16,Hunting
18,Off Highway Vehicle
20,Picnicking
22,Winter Sports
23,Recreational Vehicles
24,Visitor Center
25,Water Sports
26,Wildlife Viewing
27,Fish Hatchery
28,Wilderness
30,Fire Lookouts/Cabins Overnight
31,Fish Viewing Site
32,Day Use Area
33,Documentary Site
34,Swimming Site
35,Organization Site Privately Owned
36,Organization Site Fs Owned
37,Playground Park Specialized Sport Site
38,Other Recreation Concession Site
39,Observation Site
40,Hotel/Lodge/Resort Fs Owned
41,Information Site
42,Recreation Residence
43,Snowpark
44,Hotel/Lodge/Resort Privately Owned
103,Environmental Education
104,Photography
105,Paddling
106,Swimming
107,Diving
108,Snorkeling
109,Horse Camping
